URN,la_code,la_name,establishment_number,establishment_name,type_of_establishment,establishment_type_group,establishment_status,phase_of_education,statutory_low_age,statutory_high_age,official_sixth_form,gender,admissions_policy,religious_character,school_capacity,number_of_pupils,percentage_fsm,postcode,easting,northing,lsoa_code,msoa_code,gor_name,urban_rural,london_sub_region,laestab,idaci_quintile,inspection_number,inspection_type,inspection_start_date,publication_date,overall_effectiveness,ofsted_overall_label,category_of_concern,quality_of_education,behaviour_and_attitudes,personal_development,effectiveness_of_leadership_and_management,safeguarding_is_effective,sixth_form_provision,previous_inspection_start_date,previous_overall_effectiveness,previous_category_of_concern,previous_quality_of_education,ks4_attainment8,ks4_pct_grade4_eng_maths,ks4_pct_grade5_eng_maths,ks4_progress8,ks4_p8_lower_ci,ks4_p8_upper_ci,ks4_pct_in_p8_calc,ks4_pct_entering_ebacc,ks4_pct_achieving_ebacc,ks4_ebacc_aps,ks4_total_pupils,scap_school_places,scap_pupils_on_roll,scap_unfilled_places,scap_pct_unfilled,scap_pupils_over_capacity,scap_pct_over_capacity,scap_utilisation_pct,sf_capacity,sf_pupils_on_roll,sf_utilisation_pct,wf_pupils_fte,wf_qualified_teachers_fte,wf_teachers_fte,wf_pupil_to_qual_unqual_teacher_ratio,imd_score,imd_rank,imd_decile,idaci_score,idaci_decile,imd_education_score,imd_education_decile,ks4_attainment8_england_quartile,ks4_p8_category,idaci_pct_approx,intake_neighbourhood_gap
100049,202,Camden,4104.0,Haverstock School,Community school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,1035.0,909.0,72.6,NW3 2BQ,528159.0,184498.0,E01000902,E02000177,London,Urban: Nearer to a major town or city,Inner London,2024104.0,5.0,10088866,Requires Improvement S5 Reinspection Visit 1,2019-07-02,18/07/2019,2.0,Good,,9.0,9.0,9.0,2.0,Yes,3.0,24/01/2017,3.0,,9.0,44.2,66.7,47.4,-0.2,-0.44,0.04,87.0,27.6,23.1,3.87,156.0,1224.0,957.0,267,21.81372549,0,0,78.2,175.0,289.0,165.1,909.0,67.19,71.19,12.8,38.816,4915.0,2.0,0.747,1.0,22.292,4.0,Q2,Below avg (-0.5 to -0.1),100.0,-27.400000000000006
100050,202,Camden,4166.0,Parliament Hill School,Community school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Girls,Non-selective,Does not apply,1164.0,1229.0,35.8,NW5 1RL,528369.0,186019.0,E01000912,E02000166,London,Urban: Nearer to a major town or city,Inner London,2024166.0,4.0,10323222,S5 Inspection,2024-05-22,07/07/2024,1.0,Outstanding,,1.0,1.0,1.0,1.0,Yes,2.0,19/11/2013,2.0,,9.0,58.9,80.8,70.1,0.5,0.28,0.72,92.0,43.5,37.9,5.38,177.0,1380.0,1217.0,163,11.8115942,0,0,88.2,271.0,328.0,121.0,1229.0,79.0,81.0,15.2,31.912,7411.0,3.0,0.701,1.0,10.965,7.0,Q4 (highest),Above avg (+0.1 to +0.5),100.0,-64.2
100051,202,Camden,4196.0,Regent High School,Community school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,1100.0,1086.0,67.6,NW1 1RX,529555.0,183356.0,E01000952,E02000187,London,Urban: Nearer to a major town or city,Inner London,2024196.0,5.0,ITS404708,S5 Inspection,2012-11-29,08/01/2013,2.0,Good,,9.0,9.0,9.0,2.0,9,9.0,21/06/2011,3.0,,9.0,44.5,60.2,44.4,-0.27,-0.49,-0.05,94.0,63.2,28.7,4.13,171.0,1461.0,1084.0,377,25.80424367,0,0,74.2,128.0,160.0,125.0,1086.0,84.8,86.8,12.5,39.434,4722.0,2.0,0.7,1.0,27.444,4.0,Q2,Below avg (-0.5 to -0.1),100.0,-32.400000000000006
100052,202,Camden,4275.0,Hampstead School,Community school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,1320.0,1228.0,49.5,NW2 3RT,524402.0,185633.0,E01000871,E02000170,London,Urban: Nearer to a major town or city,Inner London,2024275.0,4.0,10240235,S5 Inspection,2023-04-19,15/06/2023,2.0,Good,,2.0,2.0,2.0,2.0,Yes,2.0,01/02/2012,2.0,,9.0,41.2,58.1,33.5,-0.46,-0.66,-0.25,92.0,17.2,10.3,3.58,203.0,1687.0,1280.0,407,24.12566686,0,0,75.9,279.0,272.0,97.5,1228.0,90.7,92.7,13.2,16.839,17430.0,6.0,0.21,7.0,2.661,10.0,Q2,Below avg (-0.5 to -0.1),40.0,9.5
100053,202,Camden,4285.0,Acland Burghley School,Community school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,1200.0,1218.0,36.5,NW5 1UJ,528962.0,185931.0,E01000928,E02000168,London,Urban: Nearer to a major town or city,Inner London,2024285.0,4.0,10041957,Requires Improvement S5 Reinspection Visit 2,2018-03-06,18/04/2018,2.0,Good,,9.0,9.0,9.0,1.0,Yes,2.0,09/02/2016,3.0,,9.0,50.4,70.9,59.9,-0.3,-0.51,-0.09,93.0,42.3,35.7,4.65,182.0,1381.0,1162.0,219,15.85807386,0,0,84.1,224.0,259.0,115.6,1218.0,83.6,88.2,13.8,22.474,12818.0,4.0,0.362,5.0,5.827,9.0,Q3,Below avg (-0.5 to -0.1),60.0,-23.5
100054,202,Camden,4611.0,The Camden School for Girls,Voluntary aided school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Girls,Non-selective,,1040.0,1076.0,28.4,NW5 2DB,529441.0,184659.0,E01035707,E02000180,London,Urban: Nearer to a major town or city,Inner London,2024611.0,4.0,10211781,S5 Inspection,2022-06-08,05/09/2022,2.0,Good,,2.0,1.0,2.0,2.0,Yes,1.0,06/12/2007,1.0,,9.0,65.4,88.2,75.6,0.62,0.36,0.89,92.0,67.2,61.3,6.19,119.0,1134.0,1063.0,71,6.26102293,0,0,93.7,437.0,471.0,107.8,1076.0,62.84,63.18,17.0,20.472,14354.0,5.0,0.358,5.0,2.372,10.0,Q4 (highest),Well above avg (>+0.5),60.0,-31.6
100055,202,Camden,4652.0,Maria Fidelis Catholic School FCJ,Voluntary aided school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Roman Catholic,917.0,812.0,60.4,NW1 1LY,529642.0,182873.0,E01000955,E02000187,London,Urban: Nearer to a major town or city,Inner London,2024652.0,5.0,ITS400388,S5 Inspection,2013-03-07,15/04/2013,2.0,Good,,9.0,9.0,9.0,2.0,9,9.0,11/11/2009,3.0,,9.0,41.8,56.5,38.9,-0.58,-0.83,-0.33,95.0,22.9,15.3,3.69,131.0,1178.0,841.0,337,28.60780985,0,0,71.4,69.0,139.0,201.4,812.0,66.38,68.17,11.9,39.97,4579.0,2.0,0.652,1.0,23.922,4.0,Q2,Well below avg (<-0.5),100.0,-39.6
100056,202,Camden,4688.0,William Ellis School,Voluntary aided school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Boys,Non-selective,,895.0,817.0,52.4,NW5 1RN,528267.0,186049.0,E01000912,E02000166,London,Urban: Nearer to a major town or city,Inner London,2024688.0,4.0,10345621,Requires Improvement S5 Reinspection Visit 1,2024-10-08,26/11/2024,,,,2.0,2.0,2.0,2.0,Yes,2.0,18/05/2022,3.0,,3.0,48.8,72.4,54.5,-0.17,-0.43,0.09,94.0,77.2,41.5,4.7,123.0,903.0,869.0,34,3.76522702,0,0,96.2,232.0,317.0,136.6,817.0,52.87,55.99,14.6,31.912,7411.0,3.0,0.701,1.0,10.965,7.0,Q3,Below avg (-0.5 to -0.1),100.0,-47.6
100059,202,Camden,5401.0,La Sainte Union Catholic Secondary School,Voluntary aided school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Girls,Non-selective,Roman Catholic,1219.0,586.0,38.5,NW5 1RP,528379.0,186191.0,E01000910,E02000168,London,Urban: Nearer to a major town or city,Inner London,2025401.0,5.0,10345622,S5 Inspection,2024-12-03,21/01/2025,,,,2.0,2.0,2.0,2.0,Yes,2.0,04/11/2010,2.0,,9.0,48.7,68.5,46.6,0.18,-0.06,0.42,92.0,36.3,21.9,4.26,146.0,1188.0,681.0,507,42.67676768,0,0,57.3,206.0,229.0,111.2,586.0,45.65,47.11,12.4,10.559,24315.0,8.0,0.123,9.0,0.485,10.0,Q3,Above avg (+0.1 to +0.5),20.0,18.5
100171,203,Greenwich,3526.0,Saint Mary Magdalene Church of England All Through School,Voluntary aided school,Local authority maintained schools,Open,All-through,3.0,18.0,Has a sixth form,Mixed,Non-selective,Church of England,1860.0,1667.0,44.4,SE18 5PW,543194.0,178936.0,E01033737,E02006994,London,Urban: Nearer to a major town or city,Inner London,2033526.0,4.0,10054338,S8 No Formal Designation Visit,2018-05-22,20/06/2018,2.0,Good,,9.0,9.0,9.0,2.0,Yes,9.0,23/10/2012,1.0,,9.0,43.9,65.7,44.6,-0.27,-0.48,-0.05,94.0,18.3,13.1,3.64,175.0,2040.0,1693.0,347,17.00980392,0,0,83.0,300.0,181.0,60.3,1660.5,114.43,118.03,14.1,30.202,8186.0,3.0,0.439,4.0,16.642,5.0,Q2,Below avg (-0.5 to -0.1),70.0,-25.6
